Program Name,Target Personnel,Number of Target Personnel,Progress Status,Date Implemented,Year,,,,,
Virtual Capacity-Building Series on Scientific Research Process for Science Leaders,,,,"October 27-31, 2025",2025,,,,,
ManCom (Sinop-Yaman),,,,"October 8-9, 2025",2025,,,,,
Revitalizing Assessment: 21st Century Test Design for the Alternative Learning System ,,150,,"September 23, 2025 re-scheduled to September 24, 2025",2025,,,,,
Retooling of Special Needs (SNED) Teachers on Curriculum and Pedagogies for Learners with Autism Spectrum Disorder (ASD) and Learners with Intellectual Disabilities (ID),,,,9/23/2025,2025,,,,,
Multi-Sectoral Academic Recovery and Accessible Learning (ARAL) Program Kick-off and Distribution of Materials and Equipment,,,,"October 6-10, 2025",2025,,,,,
Multi-Sectoral Academic Recovery and Accessible Learning (ARAL) Program Kick-off and Distribution of Materials and Equipment,,380,,"September 22, 2025 resched October 7, 2025",2025,,,,,
School-Based Training of Career Advocates (SBTCA) ,,,,"October 27-31, 2025",2025,,,,,
Tree Planting Activity for School Disaster Risk Reduction and Management (DRRM) Coordinators ,,530,,9/24/2025,2025,,,,,
"Usapang Standards, Galawang Digital in Edukasyong Pantahanan at Pangkabuhayan (EPP) and Technology and Livelihood Education (TLE)",,80,,10/03/2025,2025,,,,,
Multi-Sectoral Academic Recovery and Accessible Learning (ARAL) Program Kick-off and Distribution of Materials and Equipment,,50,,10/03/2025,2025,,,,,
Joint SDO Laguna and Cavinti Sub-Office World Teachers’ Day Celebration 2025,,,,"October 21-23, 2025 resched to November 4-6, 2025",2025,,,,,
Joint SDO Laguna and Cavinti Sub-Office World Teachers’ Day Celebration 2025,,,,"October 21-24, 2025",2025,,,,,
2025 Regional Science and Technology Fair (RSTF),,,,"October 28-29, 2025 moved to October 27-28, 2025",2025,,,,,
Basic Orientation on Geologic Disaster Preparedness and Integrating DOST-PHIVOLCS Information Materials and Tools in DRRM Initiatives ,,,,"November 11, 2025 rescheduled on November 13, 2025",2025,,,,,
Division Seminar-Workshop on the Preparation of FY 2026 Budget Execution Documents (BEDs) cum Encoding in the Unified Reporting System,,,,10/29/2025,2025,,,,,
Seminar-Workshop on Basic Education Enrollment Policies and Learner Information System (LIS)/Enhanced Basic Education Information System (EBEIS) Concerns ,,,,"November 17-18, 2025",2025,,,,,
2025 Project WoW - Mental Health Activity,,400,,"November 27-28, 2025",2025,,,,,
Division Schools Press Conference,,,,"November 20-21, 2025",2025,,,,,
for School Year 2025-2026 ,,,,11/28/2025,2025,,,,,
Leading with Purpose: 2025 Leadership Training,,50,,12/03/2025,2025,,,,,
of Learner Government Officers and Teacher-Advisers ,,100,,"December 9,12,13,15, 2025",2025,,,,,
Division Training of Trainers (DTOT) on Assessors Training and Deepening,,,,12/18/2025,2025,,,,,
on Classroom Observation and Portfolio Assessment,,,,"March 11-14, 2025",2025,,,,,
Capacity Building for Health Personnel,,,,"March 27-29, 2025",2025,,,,,
"on the QuickRes Application for HIV Referral, Basic Tobacco Intervention, and Adolescent",,,,4/30/2025,2025,,,,,
Health Education and Practical Training (ADEPT) ,,,,"May 8-9, 2025",2025,,,,,
Fourth Division Management Committee (ManCom) Meeting for Fiscal Year 2025,,,,"July 9, 2025 -Batch 1",2025,,,,,
Enhanced School Heads Development Program 2.0 (E-SHDP 2.0) Course 1: School Heads’ Leadership and Management Learning Journey ,,,,"July 10, 2025 - Batch 2",2025,,,,,
(Recognition for retirees-Medical),,,,8/27/2025,2025,,,,,
Basic Occupational Safety and Health (BOSH) Training for School Disaster Risk Reduction Management Coordinators Batch 2,,,,7/17/2025,2025,,,,,
Psychological First Aid (PFA) Training for School Disaster Risk Reduction Management (DRRM) Coordinators ,,,,"September 11-12, 2025",2025,,,,,
2025 Project WoW (Wellness on Wednesdays) for SDO Laguna Personnel - Mental Health Talk on Maintaining Productivity Amidst Diversity,,100,,09/01/2025,2025,,,,,
Program Implementation Review and Plan Adjustment (PIRPA) for Fiscal Year 2025,,,,9/13/2025,2025,,,,,
Meeting on School-based Feeding Program (SBFP) Regular Component Procurement for SY 2025-2026,,,,9/24/2025,2025,,,,,
Division Rural Farm School Agri-Festival Celebrating Technology and Livelihood,,4,,"November 24 to December 14, 2025",2025,,,,,
Education (TLE) on National Tech-Voc Day 2025 ,,,,10/15/2025,2025,,,,,
2025 Division Gawad Teodora Alonso ,,,,12/03/2025,2025,,,,,
Retooling of Special Needs Education (SNED) Teachers for Learners with Hearing Impairment (LWHI) and Learners with Visual Impairment (LWVI) ,,,,11/21/2025,2025,,,,,
Orientation and Provision of Technical Assistance to Recipient Schools of the 2025 Program Support Fund (PSF) for Special Needs Education ,,,,12/11/2025,2025,,,,,
SDO Laguna National Assessment for School Heads (NASH) ,,,,"December 16-17, 2025",2025,,,,,
2025 Project WoW (Wellness on Wednesdays) for SDO Laguna Personnel - Mental Health Activity with the topic: Bully in Workplace,,,,,2025,,,,,
18-Day Campaign to End Violence Against Women ,,,,,2025,,,,,
Coastal Clean Up Activity for School Disaster Risk Reduction Management (DRRM) Coordinators,,,,,2025,,,,,
WASH (Lazaan-Malinao ES),,,,,2025,,,,,
SDO Laguna,,,,,2025,,,,,
Personnel with Laguna Province MOVE (Men Opposed to Violence Against Women,,,,,2025,,,,,
 and Children Everywhere),,,,,2025,,,,,
Ocular Inspection for Regional Festival of Talents (RFOT) Contest,,,,,2025,,,,,
SY 2025-2026 Division Festival of Talents,,,,,2025,,,,,
